Target gene,Representative transcript,Gene name,3P-seq tags + 5,Conserved sites total,Conserved 8mer sites,Conserved 7mer-m8 sites,Conserved 7mer-A1 sites,Poorly conserved sites total,Poorly conserved 8mer sites,Poorly conserved 7mer-m8 sites,Poorly conserved 7mer-A1 sites,6mer sites,Representative miRNA,Cumulative weighted context++ score,Total context++ score,Aggregate PCT,"Previous TargetScan publication(s)
"
Nme1,ENSMUST00000135884.2,NME/NM23 nucleoside diphosphate kinase 1 ,15172,1,1,0,0,1,0,1,0,1,mmu-miR-200a-3p,-0.51,-0.63,< 0.1,"2007, 2009, 2011
"
Txnip,ENSMUST00000074519.7,thioredoxin interacting protein ,973,1,0,1,0,2,0,2,0,2,mmu-miR-141-3p,-0.48,-0.49,0.6,"2005, 2007, 2009, 2011
"
Tmem56,ENSMUST00000128909.2,transmembrane protein 56 ,253,1,1,0,0,2,0,2,0,3,mmu-miR-200a-3p,-0.48,-0.61,0.56,"2005, 2007, 2009, 2011
"
Cyb5a,ENSMUST00000160180.2,cytochrome b5 type A (microsomal) ,35996,1,1,0,0,0,0,0,0,2,mmu-miR-141-3p,-0.46,-0.54,< 0.1,"2007, 2009, 2011
"
Pgrmc2,ENSMUST00000058578.7,progesterone receptor membrane component 2 ,2661,1,1,0,0,1,1,0,0,1,mmu-miR-141-3p,-0.46,-0.79,0.82,"2005, 2007, 2011
"
Lypla1,ENSMUST00000119612.3,lysophospholipase 1 ,6785,1,1,0,0,0,0,0,0,0,mmu-miR-141-3p,-0.46,-0.46,0.81,"2005, 2007, 2009, 2011
"
4930452B06Rik,ENSMUST00000102996.3,RIKEN cDNA 4930452B06 gene ,49,1,1,0,0,0,0,0,0,0,mmu-miR-141-3p,-0.45,-0.45,0.42,"2009, 2011
"
Tgfb2,ENSMUST00000045288.8,"transforming growth factor, beta 2 ",436,2,0,1,1,1,0,1,0,0,mmu-miR-141-3p,-0.45,-0.48,0.58,"2005, 2007, 2009, 2011
"
Fnip2,ENSMUST00000076136.5,folliculin interacting protein 2 ,297,1,1,0,0,1,0,1,0,2,mmu-miR-141-3p,-0.45,-0.45,0.76,2011
Stx2,ENSMUST00000031378.8,syntaxin 2 ,170,1,1,0,0,0,0,0,0,0,mmu-miR-141-3p,-0.44,-0.44,0.79,"2007, 2009, 2011
"
Acot7,ENSMUST00000167926.2,acyl-CoA thioesterase 7 ,8334,1,0,1,0,1,0,1,0,1,mmu-miR-200a-3p,-0.44,-0.44,0.6,"2007, 2009, 2011
"
Tmem135,ENSMUST00000041968.4,transmembrane protein 135 ,3651,1,1,0,0,2,0,1,1,1,mmu-miR-200a-3p,-0.44,-0.44,0.82,"2007, 2009, 2011
"
Ccne2,ENSMUST00000029866.10,cyclin E2 ,118,1,1,0,0,1,0,0,1,0,mmu-miR-141-3p,-0.44,-0.51,0.26,"2005, 2007, 2009, 2011
"
Ttr,ENSMUST00000075312.3,transthyretin ,95283,1,0,1,0,0,0,0,0,1,mmu-miR-141-3p,-0.44,-0.48,0.37,"2005, 2007, 2009, 2011
"
Peg3,ENSMUST00000051209.5,paternally expressed 3 ,44,1,1,0,0,2,0,1,1,3,mmu-miR-141-3p,-0.43,-0.5,0.28,"
"
Slc6a9,ENSMUST00000030269.8,"solute carrier family 6 (neurotransmitter transporter, glycine), member 9 ",812,3,1,2,0,0,0,0,0,0,mmu-miR-200a-3p,-0.42,-0.42,0.67,"2007, 2009, 2011
"
Lhx1,ENSMUST00000018842.8,LIM homeobox protein 1 ,42,2,0,1,1,0,0,0,0,2,mmu-miR-141-3p,-0.42,-0.43,0.58,"
"
Sost,ENSMUST00000001534.6,sclerostin ,12,1,1,0,0,2,0,1,1,0,mmu-miR-200a-3p,-0.42,-0.42,< 0.1,"2005, 2007, 2009, 2011
"
Zfr,ENSMUST00000122941.2,zinc finger RNA binding protein ,2038,1,1,0,0,1,0,1,0,1,mmu-miR-141-3p,-0.42,-0.44,0.82,"2005, 2007, 2009, 2011
"
Ypel5,ENSMUST00000045174.5,yippee-like 5 (Drosophila) ,1801,1,1,0,0,2,0,1,1,2,mmu-miR-141-3p,-0.42,-0.65,0.78,"2005, 2007, 2009, 2011
"
Tmed9,ENSMUST00000109905.3,transmembrane emp24 protein transport domain containing 9 ,119,1,1,0,0,1,0,1,0,0,mmu-miR-141-3p,-0.41,-0.53,0.74,"2005, 2007, 2009, 2011
"
Sobp,ENSMUST00000040275.8,sine oculis-binding protein homolog (Drosophila) ,180,1,1,0,0,0,0,0,0,1,mmu-miR-141-3p,-0.41,-0.44,0.78,"2007, 2009, 2011
"
Tmed5,ENSMUST00000119437.2,transmembrane emp24 protein transport domain containing 5 ,963,1,1,0,0,1,0,1,0,1,mmu-miR-200a-3p,-0.41,-0.42,< 0.1,"2007, 2009, 2011
"
Msantd4,ENSMUST00000047173.9,Myb/SANT-like DNA-binding domain containing 4 with coiled-coils ,1460,1,0,0,1,1,0,1,0,0,mmu-miR-141-3p,-0.41,-0.49,0.58,"2007, 2009, 2011
"
Rheb,ENSMUST00000030787.8,Ras homolog enriched in brain ,6916,1,0,1,0,1,0,1,0,0,mmu-miR-141-3p,-0.4,-0.52,0.37,"2005, 2007, 2009, 2011
"
Lysmd3,ENSMUST00000049055.6,"LysM, putative peptidoglycan-binding, domain containing 3 ",719,1,1,0,0,2,0,0,2,1,mmu-miR-141-3p,-0.4,-0.41,0.48,"2007, 2009, 2011
"
Ythdf2,ENSMUST00000152796.2,YTH domain family 2 ,3104,1,1,0,0,3,1,2,0,0,mmu-miR-141-3p,-0.4,-0.57,0.78,"2005, 2007, 2009, 2011
"
Rgag1,ENSMUST00000165829.2,retrotransposon gag domain containing 1 ,4,1,0,1,0,1,1,0,0,0,mmu-miR-141-3p,-0.4,-0.4,0.37,2007
Schip1,ENSMUST00000182532.2,schwannomin interacting protein 1 ,1132,1,1,0,0,0,0,0,0,0,mmu-miR-141-3p,-0.39,-0.39,0.64,"2005, 2007, 2009, 2011
"
Plag1,ENSMUST00000003369.4,pleiomorphic adenoma gene 1 ,77,2,1,1,0,0,0,0,0,3,mmu-miR-141-3p,-0.39,-0.42,0.37,"2005, 2007, 2011
"
Mnx1,ENSMUST00000165512.3,motor neuron and pancreas homeobox 1 ,7,1,1,0,0,0,0,0,0,0,mmu-miR-141-3p,-0.38,-0.38,0.79,"2007, 2009
"
Rnf11,ENSMUST00000030284.4,ring finger protein 11 ,10289,2,0,1,1,1,0,1,0,0,mmu-miR-141-3p,-0.38,-0.4,0.58,"2005, 2007, 2009, 2011
"
Fam96b,ENSMUST00000093234.4,"family with sequence similarity 96, member B ",216,1,0,1,0,0,0,0,0,0,mmu-miR-200a-3p,-0.38,-0.38,ORF,"
"
H2afz,ENSMUST00000173790.2,"H2A histone family, member Z ",72,2,0,1,1,0,0,0,0,0,mmu-miR-141-3p,-0.38,-0.39,0.58,"2005, 2007, 2009, 2011
"
Gata6,ENSMUST00000047762.7,GATA binding protein 6 ,407,1,1,0,0,0,0,0,0,0,mmu-miR-200a-3p,-0.38,-0.38,0.82,"2005, 2007, 2009, 2011
"
Map2k4,ENSMUST00000046963.4,mitogen-activated protein kinase kinase 4 ,1573,2,1,1,0,0,0,0,0,1,mmu-miR-141-3p,-0.38,-0.38,0.74,"2005, 2007, 2009, 2011
"
Ptprg,ENSMUST00000022264.7,"protein tyrosine phosphatase, receptor type, G ",1653,2,1,0,1,0,0,0,0,1,mmu-miR-200a-3p,-0.37,-0.41,0.85,"2005, 2007, 2009, 2011
"
Elavl2,ENSMUST00000107110.2,"ELAV (embryonic lethal, abnormal vision, Drosophila)-like 2 (Hu antigen B) ",71,2,0,2,0,0,0,0,0,1,mmu-miR-141-3p,-0.37,-0.38,0.6,"2005, 2007, 2009, 2011
"
Dusp3,ENSMUST00000151678.2,dual specificity phosphatase 3 (vaccinia virus phosphatase VH1-related) ,2085,1,1,0,0,1,0,1,0,2,mmu-miR-141-3p,-0.37,-0.44,0.69,"2005, 2007, 2011
"
Crlf3,ENSMUST00000103233.4,cytokine receptor-like factor 3 ,39,1,1,0,0,2,2,0,0,1,mmu-miR-141-3p,-0.37,-0.37,0.58,"2005, 2007, 2009, 2011
"
Dstyk,ENSMUST00000045110.8,dual serine/threonine and tyrosine protein kinase ,355,1,1,0,0,1,0,1,0,2,mmu-miR-141-3p,-0.37,-0.39,0.81,"2007, 2009, 2011
"
Mbnl1,ENSMUST00000099087.2,muscleblind-like 1 (Drosophila) ,10843,1,1,0,0,0,0,0,0,0,mmu-miR-141-3p,-0.37,-0.37,0.77,"2005, 2007, 2009, 2011
"
Ppt2,ENSMUST00000171121.3,palmitoyl-protein thioesterase 2 ,33,2,0,2,0,0,0,0,0,0,mmu-miR-141-3p,-0.37,-0.37,0.6,"2007, 2009, 2011
"
Atl1,ENSMUST00000021466.8,atlastin GTPase 1 ,148,1,0,1,0,0,0,0,0,1,mmu-miR-141-3p,-0.37,-0.41,0.37,"2007, 2009, 2011
"
Brd4,ENSMUST00000114475.3,bromodomain containing 4 ,572,1,0,1,0,1,0,1,0,0,mmu-miR-200a-3p,-0.37,-0.37,0.37,"2007, 2009, 2011
"
Arf2,ENSMUST00000057921.4,ADP-ribosylation factor 2 ,1710,1,1,0,0,0,0,0,0,1,mmu-miR-141-3p,-0.37,-0.37,< 0.1,"2009, 2011
"
Fem1c,ENSMUST00000036226.5,fem-1 homolog c (C.elegans) ,303,3,0,3,0,4,0,3,1,0,mmu-miR-200a-3p,-0.37,-0.49,0.84,"2007, 2009, 2011
"
Myt1l,ENSMUST00000049784.10,myelin transcription factor 1-like ,8,2,1,0,1,1,0,0,1,0,mmu-miR-141-3p,-0.37,-0.37,0.79,"2005, 2007, 2009, 2011
"
Gpm6b,ENSMUST00000112235.2,glycoprotein m6b ,415,3,0,1,2,1,0,0,1,2,mmu-miR-141-3p,-0.36,-0.42,0.72,"2005, 2007, 2009, 2011
"
Taf12,ENSMUST00000030731.5,"TAF12 RNA polymerase II, TATA box binding protein (TBP)-associated factor ",829,1,0,1,0,1,1,0,0,0,mmu-miR-141-3p,-0.36,-0.62,0.37,"2005, 2007, 2009, 2011
"
Kbtbd4,ENSMUST00000111464.2,kelch repeat and BTB (POZ) domain containing 4 ,1305,1,1,0,0,0,0,0,0,0,mmu-miR-141-3p,-0.36,-0.36,< 0.1,"2005, 2007, 2009, 2011
"
Zeb1,ENSMUST00000025081.6,zinc finger E-box binding homeobox 1 ,954,4,0,4,0,0,0,0,0,0,mmu-miR-141-3p,-0.36,-0.36,0.84,"2009, 2011
"
Zfand5,ENSMUST00000025659.5,"zinc finger, AN1-type domain 5 ",4149,2,0,1,1,5,2,1,2,5,mmu-miR-141-3p,-0.36,-0.65,0.73,"2007, 2009, 2011
"
Grb2,ENSMUST00000106497.2,growth factor receptor bound protein 2 ,2237,1,0,1,0,0,0,0,0,0,mmu-miR-141-3p,-0.36,-0.36,0.37,"2005, 2007, 2009, 2011
"
Astn1,ENSMUST00000046110.10,astrotactin 1 ,9,1,0,1,0,1,0,1,0,1,mmu-miR-141-3p,-0.36,-0.4,0.6,"2007, 2009, 2011
"
1700025G04Rik,ENSMUST00000044581.8,RIKEN cDNA 1700025G04 gene ,289,1,0,1,0,1,0,0,1,3,mmu-miR-141-3p,-0.35,-0.36,0.37,"2009, 2011
"
P2ry1,ENSMUST00000029331.1,"purinergic receptor P2Y, G-protein coupled 1 ",160,1,1,0,0,0,0,0,0,1,mmu-miR-141-3p,-0.35,-0.35,0.66,"2009, 2011
"
Gm28048,ENSMUST00000160826.1,"predicted gene, 28048 ",690,1,0,1,0,1,0,0,1,1,mmu-miR-141-3p,-0.35,-0.38,0.37,"2007, 2011
"
Trp53inp1,ENSMUST00000029865.3,transformation related protein 53 inducible nuclear protein 1 ,2791,1,0,1,0,4,0,4,0,2,mmu-miR-141-3p,-0.35,-0.44,0.6,"2009, 2011
"
Tada1,ENSMUST00000027846.7,transcriptional adaptor 1 ,1128,1,1,0,0,0,0,0,0,1,mmu-miR-141-3p,-0.34,-0.35,0.29,"2007, 2009, 2011
"
Slc30a1,ENSMUST00000044954.6,"solute carrier family 30 (zinc transporter), member 1 ",929,1,1,0,0,3,0,2,1,1,mmu-miR-200a-3p,-0.34,-0.41,0.72,"2009, 2011
"
Map7d1,ENSMUST00000122129.2,MAP7 domain containing 1 ,377,1,1,0,0,0,0,0,0,1,mmu-miR-200a-3p,-0.34,-0.36,0.82,"2007, 2009, 2011
"
Rbm7,ENSMUST00000170000.2,RNA binding motif protein 7 ,455,1,0,1,0,1,0,1,0,0,mmu-miR-141-3p,-0.34,-0.41,0.37,"2005, 2007, 2009, 2011
"
Fbxl2,ENSMUST00000035090.8,F-box and leucine-rich repeat protein 2 ,95,1,1,0,0,0,0,0,0,0,mmu-miR-141-3p,-0.34,-0.34,0.6,"2005, 2007, 2009, 2011
"
Cpeb3,ENSMUST00000079754.5,cytoplasmic polyadenylation element binding protein 3 ,708,2,0,1,1,1,0,1,0,2,mmu-miR-141-3p,-0.34,-0.47,0.58,"2005, 2007, 2009, 2011
"
3110057O12Rik,ENSMUST00000159774.2,RIKEN cDNA 3110057O12 gene ,410,2,2,0,0,0,0,0,0,0,mmu-miR-141-3p,-0.33,-0.37,0.11,"2009, 2011
"
Slc25a3,ENSMUST00000076694.7,"solute carrier family 25 (mitochondrial carrier, phosphate carrier), member 3 ",76217,1,0,1,0,0,0,0,0,1,mmu-miR-141-3p,-0.33,-0.33,0.37,"2005, 2007, 2009, 2011
"
Sptan1,ENSMUST00000113717.2,"spectrin alpha, non-erythrocytic 1 ",2220,1,1,0,0,0,0,0,0,0,mmu-miR-141-3p,-0.33,-0.33,0.43,"2005, 2007, 2009, 2011
"
Fam188a,ENSMUST00000028105.7,"family with sequence similarity 188, member A ",701,1,0,1,0,0,0,0,0,0,mmu-miR-141-3p,-0.33,-0.33,0.37,"2007, 2009, 2011
"
Ccdc80,ENSMUST00000061050.5,coiled-coil domain containing 80 ,8312,1,0,1,0,1,0,0,1,1,mmu-miR-141-3p,-0.33,-0.34,0.37,"2007, 2009, 2011
"
Slc25a36,ENSMUST00000085206.5,"solute carrier family 25, member 36 ",885,1,0,1,0,2,0,2,0,2,mmu-miR-200a-3p,-0.33,-0.35,0.6,"2005, 2007, 2009, 2011
"
Sim2,ENSMUST00000072182.7,single-minded homolog 2 (Drosophila) ,81,1,0,1,0,0,0,0,0,0,mmu-miR-141-3p,-0.33,-0.33,0.37,"2005, 2007, 2009, 2011
"
B3gnt2,ENSMUST00000062844.10,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 2 ",690,1,0,1,0,1,0,0,1,1,mmu-miR-141-3p,-0.33,-0.34,0.37,"2007, 2009, 2011
"
Hcn1,ENSMUST00000006991.7,"hyperpolarization-activated, cyclic nucleotide-gated K+ 1 ",25,1,1,0,0,5,1,3,1,1,mmu-miR-141-3p,-0.32,-0.45,0.88,"2007, 2009, 2011
"
Vsig8,ENSMUST00000061835.4,V-set and immunoglobulin domain containing 8 ,11,1,1,0,0,0,0,0,0,0,mmu-miR-141-3p,-0.32,-0.32,< 0.1,"2007, 2009, 2011
"
Trhde,ENSMUST00000061632.7,TRH-degrading enzyme ,58,2,1,1,0,1,0,1,0,0,mmu-miR-141-3p,-0.32,-0.39,0.68,"2005, 2007, 2009, 2011
"
Ikzf2,ENSMUST00000027146.3,IKAROS family zinc finger 2 ,131,2,1,1,0,1,0,1,0,3,mmu-miR-141-3p,-0.32,-0.33,0.87,"2007, 2009, 2011
"
C78339,ENSMUST00000099547.3,expressed sequence C78339 ,3387,2,0,1,1,1,0,1,0,1,mmu-miR-141-3p,-0.32,-0.33,0.58,"2005, 2007
"
4921524J17Rik,ENSMUST00000047749.5,RIKEN cDNA 4921524J17 gene ,467,1,0,1,0,0,0,0,0,1,mmu-miR-200a-3p,-0.32,-0.37,0.37,"2009, 2011
"
Serf2,ENSMUST00000139253.2,small EDRK-rich factor 2 ,2428,1,0,1,0,1,0,1,0,1,mmu-miR-200a-3p,-0.32,-0.33,0.37,"2007, 2009, 2011
"
Atp6v1a,ENSMUST00000114666.3,"ATPase, H+ transporting, lysosomal V1 subunit A ",293,2,1,1,0,0,0,0,0,0,mmu-miR-141-3p,-0.32,-0.49,0.8,"2005, 2007, 2009, 2011
"
Pcnxl4,ENSMUST00000044352.6,pecanex-like 4 (Drosophila) ,133,1,0,1,0,0,0,0,0,0,mmu-miR-200a-3p,-0.32,-0.32,0.37,"2009, 2011
"
Ak4,ENSMUST00000102780.2,adenylate kinase 4 ,1800,1,0,1,0,2,0,2,0,0,mmu-miR-141-3p,-0.32,-0.32,0.37,"2007, 2009, 2011
"
C1galt1,ENSMUST00000040159.4,"core 1 synthase, glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase, 1 ",659,1,0,1,0,2,0,2,0,1,mmu-miR-141-3p,-0.32,-0.33,0.52,"2005, 2007, 2009, 2011
"
Memo1,ENSMUST00000078459.6,mediator of cell motility 1 ,375,1,1,0,0,5,0,3,2,4,mmu-miR-141-3p,-0.32,-0.67,0.53,"
"
Qk,ENSMUST00000097414.4,quaking ,1368,1,0,0,1,4,1,2,1,0,mmu-miR-141-3p,-0.32,-0.34,0.34,"2009, 2011
"
Ulk2,ENSMUST00000004920.3,unc-51 like kinase 2 ,2264,1,0,1,0,4,1,3,0,1,mmu-miR-141-3p,-0.32,-0.65,0.6,"2005, 2007, 2009, 2011
"
Hnrnpf,ENSMUST00000180341.1,heterogeneous nuclear ribonucleoprotein F ,53,1,0,1,0,0,0,0,0,1,mmu-miR-141-3p,-0.32,-0.32,0.37,"2007, 2009, 2011
"
Mtpn,ENSMUST00000031866.5,myotrophin ,7888,1,0,1,0,1,0,1,0,0,mmu-miR-141-3p,-0.31,-0.34,0.37,"2005, 2007, 2009, 2011
"
9330159F19Rik,ENSMUST00000092627.4,RIKEN cDNA 9330159F19 gene ,311,1,0,1,0,0,0,0,0,1,mmu-miR-141-3p,-0.31,-0.32,0.37,2011
St3gal5,ENSMUST00000069994.5,"ST3 beta-galactoside alpha-2,3-sialyltransferase 5 ",462,1,0,1,0,1,0,0,1,1,mmu-miR-141-3p,-0.31,-0.32,0.37,"2005, 2007, 2009, 2011
"
Fam189a1,ENSMUST00000119118.2,"family with sequence similarity 189, member A1 ",11,2,1,1,0,0,0,0,0,2,mmu-miR-141-3p,-0.31,-0.31,0.37,"2009, 2011
"
Dnajc13,ENSMUST00000035170.7,"DnaJ (Hsp40) homolog, subfamily C, member 13 ",904,1,1,0,0,0,0,0,0,0,mmu-miR-141-3p,-0.31,-0.31,0.68,"2007, 2011
"
Nr2c2,ENSMUST00000113460.2,"nuclear receptor subfamily 2, group C, member 2 ",261,1,0,1,0,1,0,1,0,2,mmu-miR-141-3p,-0.31,-0.32,0.37,"2007, 2011
"
Zfp281,ENSMUST00000047734.9,zinc finger protein 281 ,1001,1,0,1,0,1,1,0,0,1,mmu-miR-200a-3p,-0.31,-0.32,0.37,2011
Hmg20a,ENSMUST00000034879.3,high mobility group 20A ,416,1,1,0,0,0,0,0,0,0,mmu-miR-200a-3p,-0.31,-0.34,0.57,"2005, 2007, 2009, 2011
"
Irs2,ENSMUST00000040514.6,insulin receptor substrate 2 ,385,1,0,1,0,4,0,3,1,0,mmu-miR-200a-3p,-0.31,-0.33,0.75,"2005, 2007
"
Ak2,ENSMUST00000102604.5,adenylate kinase 2 ,7284,1,1,0,0,0,0,0,0,0,mmu-miR-141-3p,-0.31,-0.31,< 0.1,"2007, 2009, 2011
"
Ctnnd2,ENSMUST00000081728.5,"catenin (cadherin associated protein), delta 2 ",13,1,1,0,0,0,0,0,0,0,mmu-miR-141-3p,-0.3,-0.4,0.77,"2005, 2007, 2009, 2011
"
Zyg11b,ENSMUST00000043616.6,"zyg-ll family member B, cell cycle regulator ",1513,1,0,1,0,2,1,1,0,1,mmu-miR-141-3p,-0.3,-0.34,0.6,"2007, 2009, 2011
"
Mcoln3,ENSMUST00000039450.4,mucolipin 3 ,48,1,1,0,0,0,0,0,0,1,mmu-miR-141-3p,-0.3,-0.3,0.32,2007
Cdk17,ENSMUST00000069965.7,cyclin-dependent kinase 17 ,746,1,0,1,0,0,0,0,0,1,mmu-miR-141-3p,-0.3,-0.31,0.37,"2007, 2009, 2011
"
Slc17a6,ENSMUST00000032710.5,"solute carrier family 17 (sodium-dependent inorganic phosphate cotransporter), member 6 ",35,1,0,0,1,1,0,1,0,1,mmu-miR-200a-3p,-0.3,-0.3,0.58,"2005, 2007, 2009, 2011
"
Tfrc,ENSMUST00000023486.9,transferrin receptor ,2457,1,0,1,0,2,0,1,1,1,mmu-miR-141-3p,-0.3,-0.32,0.6,"2005, 2007, 2009, 2011
"
Zbtb16,ENSMUST00000093852.3,zinc finger and BTB domain containing 16 ,1034,2,0,1,1,1,0,1,0,1,mmu-miR-200a-3p,-0.3,-0.3,0.58,"
"
Camsap1,ENSMUST00000114167.3,calmodulin regulated spectrin-associated protein 1 ,284,1,0,0,1,2,0,0,2,0,mmu-miR-141-3p,-0.3,-0.46,0.34,"2005, 2007, 2009, 2011
"
Sox17,ENSMUST00000027035.4,SRY (sex determining region Y)-box 17 ,343,1,1,0,0,0,0,0,0,0,mmu-miR-141-3p,-0.3,-0.3,0.8,"2007, 2009, 2011
"
Naa60,ENSMUST00000186375.1,"N(alpha)-acetyltransferase 60, NatF catalytic subunit ",1502,1,0,1,0,2,0,2,0,1,mmu-miR-200a-3p,-0.3,-0.3,0.37,"2007, 2009, 2011
"
Mal2,ENSMUST00000025356.2,"mal, T cell differentiation protein 2 ",681,1,0,0,1,1,0,1,0,1,mmu-miR-141-3p,-0.3,-0.32,0.34,"2005, 2007, 2009, 2011
"
Klhl18,ENSMUST00000111933.2,kelch-like 18 ,238,1,0,1,0,1,0,1,0,0,mmu-miR-141-3p,-0.3,-0.3,0.6,"2005, 2007, 2009, 2011
"
Khdrbs3,ENSMUST00000022954.6,"KH domain containing, RNA binding, signal transduction associated 3 ",1514,2,0,0,2,0,0,0,0,0,mmu-miR-141-3p,-0.3,-0.32,0.56,"2005, 2007, 2009, 2011
"
Nudcd1,ENSMUST00000038719.6,NudC domain containing 1 ,1017,1,0,1,0,0,0,0,0,1,mmu-miR-141-3p,-0.29,-0.3,0.37,"2005, 2007, 2009, 2011
"
Rnf145,ENSMUST00000019333.4,ring finger protein 145 ,163,1,1,0,0,1,0,1,0,0,mmu-miR-141-3p,-0.29,-0.32,0.58,"2007, 2009, 2011
"
Arpc5,ENSMUST00000077755.6,"actin related protein 2/3 complex, subunit 5 ",240,1,0,1,0,2,0,2,0,2,mmu-miR-141-3p,-0.29,-0.85,0.75,"2005, 2007, 2009, 2011
"
Kctd20,ENSMUST00000118762.2,potassium channel tetramerisation domain containing 20 ,395,1,0,1,0,1,0,1,0,0,mmu-miR-141-3p,-0.29,-0.3,0.37,2007
Cfl2,ENSMUST00000078124.7,"cofilin 2, muscle ",11408,1,0,1,0,0,0,0,0,1,mmu-miR-141-3p,-0.29,-0.37,0.37,"2007, 2009, 2011
"
Elmod1,ENSMUST00000048409.8,ELMO/CED-12 domain containing 1 ,26,1,1,0,0,0,0,0,0,0,mmu-miR-141-3p,-0.29,-0.29,0.81,"2005, 2007, 2009, 2011
"
Gpc2,ENSMUST00000161827.2,glypican 2 (cerebroglycan) ,70,1,0,1,0,0,0,0,0,0,mmu-miR-141-3p,-0.29,-0.29,0.37,"2005, 2007, 2009, 2011
"
Cfdp1,ENSMUST00000034432.5,craniofacial development protein 1 ,1616,1,0,1,0,1,0,1,0,1,mmu-miR-200a-3p,-0.29,-0.37,0.37,"2005, 2007, 2009, 2011
"
Dock10,ENSMUST00000077946.6,dedicator of cytokinesis 10 ,74,1,1,0,0,0,0,0,0,0,mmu-miR-200a-3p,-0.29,-0.29,< 0.1,"2007, 2009, 2011
"
Zcchc24,ENSMUST00000069180.7,"zinc finger, CCHC domain containing 24 ",6383,1,0,1,0,1,0,0,1,1,mmu-miR-200a-3p,-0.29,-0.29,0.37,"2007, 2009, 2011
"
Sept11,ENSMUST00000074733.7,septin 11 ,4345,1,1,0,0,2,0,2,0,1,mmu-miR-141-3p,-0.29,-0.37,0.8,"2005, 2007, 2009, 2011
"
Siah1b,ENSMUST00000037928.3,seven in absentia 1B ,25,1,0,1,0,0,0,0,0,0,mmu-miR-141-3p,-0.28,-0.28,0.37,"2009, 2011
"
Lrrc57,ENSMUST00000102496.2,leucine rich repeat containing 57 ,74,1,0,1,0,2,0,2,0,0,mmu-miR-200a-3p,-0.28,-0.44,0.75,"2007, 2009, 2011
"
Aco1,ENSMUST00000102973.3,aconitase 1 ,1286,1,1,0,0,1,0,1,0,2,mmu-miR-141-3p,-0.28,-0.31,0.66,"2007, 2009, 2011
"
Chp1,ENSMUST00000119172.1,calcineurin-like EF hand protein 1 ,4235,1,0,1,0,2,0,1,1,0,mmu-miR-141-3p,-0.28,-0.28,0.6,"2007, 2009, 2011
"
